GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shopping-cart,com.reljicd.util,Pager,46,0,4,0,10,0,10,0,8,0
shopping-cart,com.reljicd.model,Product,65,0,6,0,21,0,16,0,13,0
shopping-cart,com.reljicd.model,Role,24,0,0,0,10,0,7,0,7,0
shopping-cart,com.reljicd.model,User,59,0,0,0,25,0,17,0,17,0
shopping-cart,com.reljicd.service.impl,UserServiceImp,45,0,0,0,11,0,4,0,4,0
shopping-cart,com.reljicd.service.impl,ProductServiceImpl,16,0,0,0,5,0,3,0,3,0
shopping-cart,com.reljicd.service.impl,ShoppingCartServiceImpl,171,0,12,0,29,0,13,0,7,0
shopping-cart,com.reljicd.config,GlobalExceptionHandler,30,0,2,0,7,0,4,0,3,0
shopping-cart,com.reljicd.config,MyAccessDeniedHandler,40,0,2,0,7,0,4,0,3,0
shopping-cart,com.reljicd.config,SpringSecurityConfig,101,0,0,0,30,0,4,0,4,0
shopping-cart,com.reljicd.exception,NotEnoughProductsInStockException,21,0,0,0,4,0,2,0,2,0
shopping-cart,com.reljicd.controller,HomeController,56,0,2,0,11,0,3,0,2,0
shopping-cart,com.reljicd.controller,ShoppingCartController,74,0,0,0,17,0,5,0,5,0
shopping-cart,com.reljicd.controller,RegistrationController,81,0,6,0,22,0,6,0,3,0
shopping-cart,com.reljicd.controller,CustomErrorController,15,0,0,0,4,0,4,0,4,0
shopping-cart,com.reljicd.controller,LoginController,9,0,2,0,4,0,3,0,2,0
shopping-cart,com.reljicd,ShoppingCartApplication,8,0,0,0,3,0,2,0,2,0
